Client;Secteur1;Secteur2;SecteurParticulier;NbSalaries;CapaciteEmprunt;PrevisionnelAnnuel;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30
C243986;;1;;0;8000;[0];0;0;0;0;19168,78;0;294,79;0;0;0;0;0;0;871,42;0;0;0;0;0;0;0;24258,08;1080,52;0;0;0;0;0;0;0
C244014;;;;0;10000;[0];0;0;0;0;31991,21;0;7,08;0;34,14;0;0;0;0;0;0;0;0;0;0;0;0;1286,75;962,56;0;0;0;0;61,02;0;0
C244032;;1;;0;20000;[0];0;0;0;0;29740,49;0;806,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32204,46;9303,48;146,07;0;0;0;16,37;0;0
C264563;;;;1;15000;[17500];1934,96;2134,92;1192,28;1244,3;789,73;516,86;3406,36;637,49;-53,06;0;637,04;1280,12;83,92;1917,91;0;575,38;0;229,31;66,36;3390,87;178,86;0;0;1626,15;0;219,6;1,2;189,81;4,83;61,46
C264587;1;;;1;10000;[19200];123,61;0;329,01;0;0;0;146,9;0;0;0;0;0;0;0;0;1915,78;0;51,46;0;60,01;33,96;0;0;506,86;0;0;0;37,16;0;0
C264593;1;;;4;45000;[76800];284,84;0;82691,44;68,44;51,78;0;1694,66;0;1945,07;0;0;28,55;0;0;0;87014,18;0;351,53;0;474,09;1635,69;0;0;71,94;0;2192,72;0;11,13;0;0
C264616;;;;0;5000;[0];10,52;37,26;0;0;0;0;10,18;0;0;0;0;0;0;463,09;0;12,37;0;110,35;0;0;0;0;0;47,18;0;0;0;0;0;0
C264619;;;;0;8000;[0];56,39;0;0;0;0;175,92;22,36;0;0;0;58,17;0;0;6,32;0;0;0;0;3,33;476,25;0;0;0;6,08;0;45,14;0;5,66;0;191,81
C264632;;;;1;8000;[17500];8,22;5,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56,52;0;0;0;0;0;0;0;0;0;0
C264666;;;;6;5000;[159600];102,94;528,5;385,65;90,93;1452,8;0;302,69;18,63;0;0;21,86;39,82;0;654,9;0;277,35;0;112,28;0;26,24;0;0;0;555,11;0;0;0;20,51;0;0
C264673;;1;;1;5000;[22400];0;0;14,69;0;0;145,3;27,09;0;0;0;0;0;0;179,21;0;0;0;39,17;0;7,67;0;0;0;0;0;0;0;36,17;0;0
C264687;;;;0;8000;[0];0;0;45,6;0;0;0;0;0;0;0;70,06;101,92;0;0;0;6,16;0;0;1224,27;429,79;0;0;0;152,66;0;253,76;0;97,05;19,32;50,84
C264689;;;;1;10000;[26600];21,57;0;37,53;0;0;0;0;0;0;0;0;0;0;144,18;0;32,82;0;0;0;0;543,51;0;0;0;0;0;0;0;0;0
C264690;;;;3;10000;[60000];22,98;0;7,88;3280,31;16,47;0;251,78;0;0;0;0;2730,71;0;0;0;162,02;0;0;0;22,98;0;0;0;0;0;0;0;9,13;0;0
C264696;;1;;4;50000;[89600];65,84;1086,38;1099,44;40380,73;5857,47;616,94;342,41;0;17,06;0;0;3689,28;0;274,5;0;0;0;40,75;0;377,47;171,14;13756,82;1039,67;28,19;0;0;0;161,31;0;0
C264705;;;;0;10000;[0];0;0;20,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126,2;368,89;91,51;0;0;0;0;0;0;0;0;0;0
C264728;;;;0;10000;[0];108,07;119,73;287,48;278,19;0;0;72,22;0;0;0;8,28;30,24;60,72;50,2;0;101,06;0;53,7;0;81,89;735,39;64,17;0;181,22;0;18,3;0;13,86;0;0
C264738;;;;20;30000;[570000];36627,43;262,24;187,48;228,18;0;23,48;182;0;0;0;10,36;57,97;0;807,9;0;0;0;797,77;0;43572,24;243,76;0;0;39,24;0;0;0;115,28;0;53,99
C264741;1;;;2;8000;[38400];27,42;55,58;0;0;0;0;6,91;0;0;0;0;39,71;87,18;2,76;0;267,59;0;19,41;21,62;0;225,75;0;3793,37;280,22;0;0;0;0;0;0
C264747;;;;0;10000;[0];0;0;0;0;0;23,92;18,78;0;0;0;0;0;0;13,87;0;0;0;0;9,94;16,45;0;0;45,24;0;0;0;0;0;0;0
C264750;;1;;10;6000;[224000];53,35;0;109,25;124,34;838,51;0;12,54;0;0;0;0;7513,39;0;0;0;0;0;1111,01;0;68,6;499,96;1205,49;7051,14;42,4;0;0;0;11,43;0;0
C264768;;1;;5;20000;[112000];346,68;84,86;4788,04;3321,15;10848,36;296,43;1484,76;74,23;135,4;0;25,27;11170,6;0;362,34;0;1754,64;0;1044,83;0;569,65;3354,01;8312,49;31370,99;1924,86;0;120,78;83,25;618,5;0;0
C264769;;1;;4;40000;[89600];386,3;253,3;7221,29;8133,44;63279,02;7267,57;2014,56;94,87;10,73;0;0;11371,23;2519,96;554,21;0;6857,73;0;771,66;157,65;412,43;3933,08;65188,38;7690,1;3721,27;0;138,86;0;392,91;0;9,65
C264774;;;;10;10000;[200000];825,25;0;0;0;0;6971,24;34,11;375,3;-101,87;0;33,35;0;26,66;163,6;0;0;0;50,87;5027,03;4403,81;0;0;0;184,24;0;106,14;0;0;0;816,17
C264794;;;;1;5000;[17500];0;0;0;0;0;0;647,15;0;0;0;0;1361,96;251,95;0;0;0;0;278,11;0;80,26;0;406,02;0;197,29;0;0;0;16,23;0;0
C264814;;;;2;15000;[35000];5685,01;2023,74;356,2;22,25;0;701,52;592,77;91,05;-483,66;0;74,55;80,5;0;9018,34;0;14,98;0;200,32;537,5;16064,4;1273,64;2406;0;406,26;18,01;-1593,66;0;231,79;0;232,09
C264816;;1;;1;8000;[22400];0;0;835,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,13;0;68,06;181,15;0;0;9,97;0;-12,44;0;7,73;0;0
C264824;;;;1;10000;[17500];4635,27;5143,71;1283,94;2348,03;0;2793,13;1948,16;23,87;-34,14;0;0;563,34;78,43;4784,02;0;0;0;0;36,39;6738,88;1328,04;1160,01;0;83,91;56,93;-210,72;0;51,4;0;0
C264825;;;;2;10000;[40000];123,7;0;0;0;0;101,94;38,16;0;0;0;0;0;0;0;0;0;0;7,38;32,54;364,61;0;0;0;36,23;0;0;0;45,41;0;0
C264832;;1;;1;10000;[22400];0;4,21;0;0;0;0;10,66;0;0;0;0;1894,92;58,61;0;0;24,6;0;6,65;206,25;84,53;491,67;0;690,7;0;0;0;12,04;124,99;0;0
C264860;;;;10;10000;[106000];906,4;116,83;1950,66;76,71;753,26;0;132,33;0;0;0;0;128,5;0;53,14;0;1186,3;0;0;0;813,35;379,33;265,37;161,39;13,33;0;0;0;125,87;0;0
C264872;1;;;20;259800;[848000];1475;520,32;502679,74;621,11;155,53;60,37;5990,56;23,02;91,58;0;-135,47;312,09;50,52;0;0;312894,38;0;3254,17;0;5191,5;328299,1;0;52,59;5295,15;0;758,05;0;850,05;9,76;199,71
C264879;;1;;1;10000;[22400];18,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C264883;;;;0;8000;[0];68;0;6,63;0;0;0;0;0;64,77;0;0;0;0;0;0;0;0;0;0;10,2;0;0;0;0;0;0;0;0;0;0
C264885;;;;0;8000;[0];0;0;0;0;0;11,42;0;0;0;0;0;0;0;0;0;0;0;0;54,09;149,77;0;0;0;268,41;254,31;0;0;12,3;0;16,91
C264899;;;;0;8000;[0];73,17;12,75;21,76;0;0;0;89,56;0;0;0;0;0;0;98,44;0;193,24;0;90,78;0;603,86;0;0;0;1,89;0;0;0;4,79;0;0
C264907;;;;0;0;[0];0;0;0;0;0;368,44;96,37;0;0;0;0;0;0;0;0;0;0;227,7;0;0;0;0;0;0;0;0;0;0;0;0
C264912;;;;0;0;[0];0;0;0;0;0;9,69;180,08;0;28,18;0;0;0;0;0;0;0;0;512,05;0;0;0;0;0;1396,58;0;28,18;0;0;0;0
C264918;;;;0;10000;[0];0;0;0;0;0;32,7;858,98;0;0;0;0;0;0;0;0;0;0;511,42;0;0;0;0;0;0;0;0;0;0;0;0
C264924;;;;12;70000;[210000];303966,45;1532,42;244,97;543,61;0;338,55;3122,65;32968,43;1337;0;9659,41;508,2;36,54;20,59;0;54,89;0;255,43;0;349413,42;559,31;0;0;1968,7;0;1750,16;0;47,04;0;8069,54
C264927;;;;4;18000;[70000];49856,87;20391,03;2748,94;770,2;2952,47;826,49;888,15;613,53;117,4;0;27,32;211,32;70;11202,6;0;19,62;0;161,11;0;26364,54;4438,21;0;0;122,04;324,69;-196,93;0;174,52;0;156,66
C264928;;;;0;10000;[0];5751,29;8764,32;1848,98;872,46;0;267,46;527,43;66,63;-6,09;0;452,72;173,22;742,55;3759,25;0;96,99;0;290,58;0;9720,34;2295,5;852,26;0;176,67;0;32,94;0;37,56;0;17,1
C264930;;;;0;8000;[0];77,98;0;0;0;0;1099,88;2182,97;0;24,4;0;0;15,77;0;0;0;0;0;174,42;0;499,11;0;541,75;0;204,62;55,27;0;0;0;0;0
C264933;;;;6;20000;[105000];38143,8;16198,73;4677,32;1112,37;0;2536,98;1849,08;3374,37;459,88;0;1382,28;470,08;308,22;16923,56;45,19;460,82;0;34,9;80,86;80923,12;3105,35;0;0;4699,89;146,08;495,37;0;387,26;0;1460,63
C264934;;;;5;20000;[87500];78077,67;40212,44;4209,43;4049,22;206,06;3259,77;4026,7;2342,03;82,15;0;2911,71;1612,83;2550,8;20847,65;75,3;87,86;0;389;0;68260,53;4705,49;277,86;0;1595,38;1777,15;756,45;0;303,11;39,3;407,86
C264941;;;;0;8000;[0];227,8;0;53,36;0;0;0;285,25;0;0;0;0;0;0;0;0;176,42;0;154,76;0;35,53;0;0;0;5,98;0;0;0;0;0;41,44
C264942;;;;8;40000;[140000];95192,2;33359,45;6964,78;5075,31;124,4;5082,94;6424,57;24450,9;789,01;0;10825,93;1433,9;481,79;31234,94;252,61;554,43;0;735,21;1283,51;91870,12;13640,09;0;0;8390,92;41,05;780,31;0;241,87;30,21;1673,24
C264944;;;;0;10000;[0];18356,77;1936,14;2349,25;0;0;632,96;1732,46;950,52;174,43;0;1657,24;43,77;1454,13;533,19;0;184,96;0;847,89;0;9422,29;0;0;0;510,18;20,94;48,85;0;0;0;7,55
C264946;;;;0;0;[0];0;2930,95;0;0;0;0;46,85;0;0;0;133,63;0;0;0;0;0;0;6,97;0;393,17;0;0;0;62,73;0;0;0;0;0;85,1
C264947;;;;0;10000;[0];1263,71;0;912,9;0;0;10,22;379,28;2477,73;0;0;29,45;0;0;10,11;0;561,25;0;132,11;0;1110,57;1811,5;0;0;0;0;0;0;65,38;0;988,49
C264949;;;;0;20000;[0];11126,59;4440,09;1981,29;1172,92;489,9;499,01;3494,11;514,71;70,75;0;575,64;891,12;786,67;4619,74;0;67,39;0;1592,12;81,17;5056,51;440,87;769,42;0;914,13;100,98;-111,02;0;141,25;36,64;74,12
C264950;;1;;12;30000;[268800];742,96;537,02;59865,65;129,91;62,16;65,17;1279,92;8,67;95,75;0;2,31;1402,21;223,66;66,88;0;4165,96;0;1,76;27,9;2923,72;66347,72;0;138,24;1238,07;78,87;76,49;0;10,1;0;352,93
C264959;;;;0;10000;[0];0;0;0;0;0;0;15,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,97;0;0;0;0;0;0
C264964;;;;5;70000;[87500];118026,56;11959,25;6664,64;1310,83;0;5275,7;4722,11;6900,83;120,42;0;3098,19;42,82;63,51;22310,81;37,65;3314,78;0;129,48;0;71359,63;3599,32;1404,54;367,28;3308,95;27,72;240,34;0;265,92;0;261,25
C264965;;;;0;5000;[0];177,64;31,31;0;0;0;44,39;97,07;12783,77;0;0;4000,05;0;0;66,54;0;14,32;0;16,84;0;127,75;0;0;0;47,19;0;0;0;0,31;0;2252,46
C264967;;;;0;30000;[0];12353,45;6884,65;276,2;584,06;569,9;1052,76;404,11;386,9;60,99;0;626,85;152,24;20,33;5135,57;0;0;0;73,86;0;27959,34;0;0;0;958,11;0;-15,25;0;79,29;0;64,56
C264972;;;;0;5000;[0];1801,68;19,48;298,25;0;0;51,24;219,41;95,16;37,65;0;42,65;0;301,56;189;0;118,38;0;0;0;960,45;109,1;0;136,1;71,98;0;0;0;0;0;0
C264977;;;;0;7500;[0];437,93;988,92;2169,07;189,58;0;0;237,67;29,41;0;0;10,05;56,45;0;602,2;0;554,01;0;26,9;0;361,16;8949,41;0;0;628,65;0;45,14;0;75,35;0;0
C264985;;;;0;8000;[0];1170,4;614,26;251,59;335,07;0;417,49;330,85;0;0;0;56,77;1090,7;377,65;1085,45;0;422,44;0;13,73;0;1181,45;92,5;0;49,24;12,88;0;0;0;6,47;0;0
C264986;;;;1;8000;[20200];2797,01;2835,98;162,14;104,28;0;1882,49;494,44;268,08;-28,42;0;326,56;375,8;2140,4;193,37;394,51;35,67;0;79,32;93,92;9027,73;221,41;0;0;530,77;61,05;75,27;0;17,64;0;48,85
C264994;;;;0;8000;[0];686,79;121,26;194,19;0;0;0;235,22;224,41;0;0;78,51;390,03;0;48,5;0;0;0;24,33;0;290,07;0;0;0;22,29;0;0;0;0;16,49;496,53
C264997;;;;0;10000;[0];10471,9;10052,81;5480,28;685,41;216,19;7171,43;1412,7;1007,42;332,06;0;286,79;60,8;401,38;3449,22;37,65;138,26;0;141,29;0;8403,42;1014,86;0;0;378,75;156,92;87,84;0;29,39;1,51;0
C264998;;;;0;20000;[0];872,3;137,81;0;9,15;0;1652,02;146,24;570,58;1,82;0;39,33;0;0;0;0;17,32;0;0;0;6,39;0;0;0;0;0;0;0;0;0;124,65
C265001;;;;0;5;[0];827,81;0;0;0;0;0;0;0;48,19;0;0;0;0;0;0;17,32;0;0;0;182,62;0;0;0;0;0;0;0;0;0;0
C265002;;1;;0;8000;[0];2452,32;1526,2;4368,93;0;0;51,87;698,92;40,21;14,88;0;16,43;54,88;194,27;725,73;0;2161,54;0;252,8;0;895,18;2230,77;0;0;234,13;0;68,47;0;10,43;0;0
C265006;;;;0;9000;[0];3,39;0;0;0;0;0;46,98;0;0;0;0;0;0;494,69;0;0;0;0;0;257,85;0;0;0;0;0;0;0;9,89;0;24,42
C265009;;1;;2;9000;[44800];182,16;346,26;0;1208,91;0;25,54;310,59;0;4,44;0;0;1439,25;53,13;0;0;0;0;74,19;0;0;138,09;567,59;2506,17;99,8;0;30,5;0;174,85;0;0
C265017;;;;0;3000;[0];55,45;0;0;39,44;0;0;126,04;0;0;0;0;151,88;0;6,64;0;5,2;0;194,07;0;147,08;0;0;0;252,17;0;38,06;0;25,73;0;0
C265018;;;;2;8000;[35000];345,38;26,6;1282,89;193,01;0;143,96;3,56;42,65;119,56;0;0;216,11;0;0;0;2689,03;0;0;0;149,63;122,76;0;0;0;0;285,48;0;64,66;0;0
